,Title,Published_date,Views,Likes,Comments,Month
0,HelloFresh Gardens Curr-EAT-ulum | HelloFresh,2023-11-01,118,2,"{'viewCount': '118', 'likeCount': '2', 'favoriteCount': '0', 'commentCount': '0'}",Nov
1,Home cooking made easy and affordable | HelloFresh,2023-05-02,15454,14,"{'viewCount': '15454', 'likeCount': '14', 'favoriteCount': '0', 'commentCount': '11'}",May
2,Dishing Up with Stacey and Joe | Episode 1| HelloFresh,2022-09-01,64780,297,"{'viewCount': '64780', 'likeCount': '297', 'favoriteCount': '0', 'commentCount': '28'}",Sep
3,Dishing Up with Stacey and Joe | Episode 2 | HelloFresh,2022-09-01,20076,95,"{'viewCount': '20076', 'likeCount': '95', 'favoriteCount': '0', 'commentCount': '4'}",Sep
4,HelloFresh Gardens | HelloFresh,2022-07-28,808,5,"{'viewCount': '808', 'likeCount': '5', 'favoriteCount': '0', 'commentCount': '1'}",Jul
5,Create a Lightyear inspired spaceship with Joe Swash | HelloFresh,2022-06-27,450,1,"{'viewCount': '450', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '3'}",Jun
6,The Felix Project Partnership | HelloFresh,2022-06-20,564,7,"{'viewCount': '564', 'likeCount': '7', 'favoriteCount': '0', 'commentCount': '3'}",Jun
7,Dishing Up with Marvin and Aston | Episode 2,2022-06-09,3668,54,"{'viewCount': '3668', 'likeCount': '54', 'favoriteCount': '0', 'commentCount': '10'}",Jun
8,Dishing Up with Marvin and Aston | Episode 1,2022-06-09,4445,63,"{'viewCount': '4445', 'likeCount': '63', 'favoriteCount': '0', 'commentCount': '2'}",Jun
9,Dishing Up With Martin and Roman Kemp | Episode 2 | HelloFresh,2021-08-24,5042,49,"{'viewCount': '5042', 'likeCount': '49', 'favoriteCount': '0', 'commentCount': '1'}",Aug
10,Dishing Up with Martin and Roman Kemp | Episode 3 | HelloFresh,2021-08-24,4602,39,"{'viewCount': '4602', 'likeCount': '39', 'favoriteCount': '0', 'commentCount': '3'}",Aug
11,Dishing Up with Martin and Roman Kemp | Episode 1 | HelloFresh,2021-08-23,12641,118,"{'viewCount': '12641', 'likeCount': '118', 'favoriteCount': '0', 'commentCount': '8'}",Aug
12,How To Master Mealtimes with HelloFresh & Emily Atack | Episode 3 | HelloFresh,2020-11-05,20717,209,"{'viewCount': '20717', 'likeCount': '209', 'favoriteCount': '0', 'commentCount': '51'}",Nov
13,How To Master Mealtimes with HelloFresh & Emily Atack | Episode 2 | HelloFresh,2020-10-23,14654,80,"{'viewCount': '14654', 'likeCount': '80', 'favoriteCount': '0', 'commentCount': '7'}",Oct
